cps21_ResponseId,cps21_imp_iss
R_2OQ5kJ8KyhMekdQ,Le Québec
R_2xGmWkuRUpnUQRm,Relance économique
R_2BnE9Xfibuhk68i,Senior care
R_1qVU4nDeaC1ophN,Environnement
R_11hfXEdEnNUiLaA,Indigenous relations
R_SSLwZQtDM6668yB,Environment
R_3NwxS9JHR1uNxDn,Climate change
R_23TNThmL6sIz3uy,Health
R_3GuMJtR5xCE1feD,economy
R_2VpBg4hymxA6rFH,-99
R_2CKswPLvtd4WgjE,La vaccination obligatoire
R_1prtRjkAu6f6Eul,DO NOT VOTE FOR PM
R_1hSHNz8uyKMfhQQ,"Taxes, Covid, Immigration"
R_2pJiWql5dLLCwrp,Covid procedures and the economy
R_bqmsVUvU6OWc73r,Fiscal Responsibility
R_1OpIuNDt2hAvXBk,Santé
R_WlBItGpYcq1FOxz,ENVIRONNEMENT
R_2TYkOQOTN3X4gzW,Economy
R_eF1ug7ilnN7xGSJ,Getting rid of tyrant leaders
R_QcxCHyPubfFd4m5,Return to normalcy after covid-19
R_1rPohlRmxTeNqjG,Health care
R_ysbT8wv0L53qUtb,Climat
R_1gRvBZddWYSjza8,MONEY
R_tFLmEKQmtCPaT4Z,get rid of Trudeau
R_2thg8H0NJgi1MaX,Jobs
R_3g6GGuejuglyy5g,putting Covid behind us and getting Canadian values back
R_2VDvDhp9ppBqW5q,Pipeline Construction
R_3qO0hPcOt3LtmlY,pandemic recovery
R_3qrhp66MdrYc9zn,Respect for constitutional rights and the illegal actions of government during the CCP pandemic
R_1o7imHrEQnzFu0q,Climate change
R_12sf0Jm37EYhHLs,Helping muslims feel safe
R_1OpFL9h1b5mylpv,Environment
R_3HSsysPex5vWqD0,Lowering the cost of living
R_3NHRguLHepRWNu9,Les changements climatiques
R_DT3XqXdcXVdaepb,Seniors Care
R_BEtXvsLw2aLw253,Health care
R_1BMnG3reYPDxyVj,Le déficit financier
R_3n63rguvTVfcsWA,Long term debt and how we are going to pay it back
R_cNjVz4ca7ztpak9,L'environnement les changements climatiques
R_31ckhbSSMegvtym,Senior care
R_1hBbO9VBrHvnfQO,Healthcare
R_AMAdU6OTBrvUBKF,housing
R_T7nQydPf35i1utX,"non-antagonistic, non-imperialist foreign policy with other countries"
R_3FOMEohqv1FG0aJ,Health care
R_qI2Ds9vckEpRSI9,La fin de la PCRE
R_AvUBPG5rVBYukSt,Covid
R_1CkLowLgbuhZOPv,The economy and jobs.
R_Wd2twxmLyLNRpzb,Taxes
R_3soZ32XDDlGW1z7,Chercher un bon administrateur pour le pays.
R_1CHnVFpkEcpBSe2,Housing affordability
R_1f1LCHIvcfeQGqW,Election system
R_2XjuVkUPrbdCYVP,"Survey Feedback:  Please include a progress bar so participants can see their progress.  Please increase the reward for the survey if there is no progress bar to reflect the inconvenience.housing crisis, ending first past the post, first nations reconsiliation, climate change"
R_24ufSjHEwcjRWRT,Les valeurs canadiennes
R_ZxacPcweEPIuEGR,Covid 19 management & economic recovery
R_1CjywXvkPwhACdb,Climate change
R_1LcUUN0jH1YHu31,Canadian health system
R_eXrz2Wq9xBOeiul,Choisir le bon premier ministre
R_2saQS2vfv7I173M,deficit an debt
R_NWlZPJJVR1pDL33,housing availability and pricing
R_3lxGq08DH6PFdv0,Économie
R_1Hc90MH2wrxnZkV,Healthcare
R_12MszYTHACpHm08,COVID-19
R_233OLiAXwJ4vvPE,Économie
R_1MLguj00MH2eawo,Impôt
R_5tG5eXKvrH3FIZP,The truth.  Enough BS already.
R_1pJRMuvfQIm3Gq3,Covid Recovery
R_1d6S9M9WKJp9C9n,Getting Trudeau out
R_3HjYpA21wvVlqLD,Electoral reform
R_3CJJdtv6c0YoN4o,Having a leader that actually cares for their people and country
R_1Ff9LBXeCfiZjTb,Freedom rights
R_11hzyC6EI3oeur1,Healthcare
R_2wv6BZPuSZwJxo8,Education
R_1GHU3MjMpofSCkl,environment
R_1CvIoiNbzRWSkUq,Diversity and inclusion
R_2uwUzmrnELKI4bQ,healthcare
R_Y2XKRN1YDSVmgX7,Get rid of catch and release
R_3jdmo7zkgR4Fqd7,climate change and environmental issues
R_XMniyKSZMmXqMRX,améliorer la qualité de vie des canadiens
R_2uPahKuRlCZZn8Z,Budget
R_2qBJQiSBZsOzSud,that we be led by elected officials that care for citizens not themselves
R_w1adWDKONHJbTOx,Economic recovery
R_1puQDU5ROEE4xuw,The economy
R_3FRtgQbJCDJMr54,Économie
R_3g2fEGk4z9BJebU,COVID-19
R_1hBaeWcgo8eR2Vo,Affordability
R_3pfgTEbbklqdWsk,Lowering the deficit
R_3dQAiJKKhgY0f6I,Healthcare
R_2Veku0IW7Y1hPcm,National unity
R_3nix5oG9CWtpy1k,housing
R_2RUJ5CNcoItbQcI,Le contrôle de la dette pour les générations futures
R_1iqG4qSn75pQHSN,Getting Trudeau out of office
R_ONzbFsmC6kEgsZX,THAT CERB DOES NOT NEED TO BE REPAID
R_1CEJRHkhIoq52Eb,Environnement
R_1F8LnqyRXVFFuPC,Health care
R_6x6Pz96UV0Svx9n,economy
R_3lLYh1NY1XHD4wE,None
R_1QtQePsw0ZQgqw0,Taxes
R_AHDWxti7N6MXbxv,Identité
R_27eE5PByKHRXWht,Environnement (climat)
R_Yb2NJKwyNGMccaR,La situation Covid et sa gestion pan canadienne
