cps21_ResponseId,cps21_imp_iss,COVID-19 / Pandemic,Healthcare,Economy / Economic Recovery,Environment / Climate Change,Taxes / Government Spending / Deficit,Housing / Affordability / Cost of Living,Government Leadership / Integrity / Transparency,Social Equality / Minority Rights,Education,Seniors / Senior Care,Child Care / Family Benefits,Immigration,National Unity / Canadian Values,Other / Miscellaneous
R_2OQ5kJ8KyhMekdQ,Le Québec,False,False,False,False,False,False,False,False,False,False,False,False,True,False
R_2xGmWkuRUpnUQRm,Relance économique,False,False,True,False,False,False,False,False,False,False,False,False,False,False
R_2BnE9Xfibuhk68i,Senior care,False,True,False,False,False,False,False,False,False,True,False,False,False,False
R_1qVU4nDeaC1ophN,Environnement,False,False,False,True,False,False,False,False,False,False,False,False,False,False
R_11hfXEdEnNUiLaA,Indigenous relations,False,False,False,False,False,False,False,True,False,False,False,False,False,False
R_SSLwZQtDM6668yB,Environment,False,False,False,True,False,False,False,False,False,False,False,False,False,False
R_3NwxS9JHR1uNxDn,Climate change,False,False,False,True,False,False,False,False,False,False,False,False,False,False
R_23TNThmL6sIz3uy,Health,False,True,False,False,False,False,False,False,False,False,False,False,False,False
R_3GuMJtR5xCE1feD,economy,False,False,True,False,False,False,False,False,False,False,False,False,False,False
R_2VpBg4hymxA6rFH,-99,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R_2CKswPLvtd4WgjE,La vaccination obligatoire,True,True,False,False,False,False,False,False,False,False,False,False,False,False
R_1prtRjkAu6f6Eul,DO NOT VOTE FOR PM,False,False,False,False,False,False,True,False,False,False,False,False,False,False
R_1hSHNz8uyKMfhQQ,"Taxes, Covid, Immigration",True,False,False,False,True,False,False,False,False,False,False,True,False,False
R_2pJiWql5dLLCwrp,Covid procedures and the economy,True,False,True,False,False,False,False,False,False,False,False,False,False,False
R_bqmsVUvU6OWc73r,Fiscal Responsibility,False,False,False,False,True,False,False,False,False,False,False,False,False,False
R_1OpIuNDt2hAvXBk,Santé,False,True,False,False,False,False,False,False,False,False,False,False,False,False
R_WlBItGpYcq1FOxz,ENVIRONNEMENT,False,False,False,True,False,False,False,False,False,False,False,False,False,False
R_2TYkOQOTN3X4gzW,Economy,False,False,True,False,False,False,False,False,False,False,False,False,False,False
R_eF1ug7ilnN7xGSJ,Getting rid of tyrant leaders,False,False,False,False,False,False,True,False,False,False,False,False,False,False
R_QcxCHyPubfFd4m5,Return to normalcy after covid-19,True,False,True,False,False,False,False,False,False,False,False,False,False,False
R_1rPohlRmxTeNqjG,Health care,False,True,False,False,False,False,False,False,False,False,False,False,False,False
R_ysbT8wv0L53qUtb,Climat,False,False,False,True,False,False,False,False,False,False,False,False,False,False
R_1gRvBZddWYSjza8,MONEY,False,False,True,False,True,True,False,False,False,False,False,False,False,False
R_tFLmEKQmtCPaT4Z,get rid of Trudeau,False,False,False,False,False,False,True,False,False,False,False,False,False,False
R_2thg8H0NJgi1MaX,Jobs,False,False,True,False,False,False,False,False,False,False,False,False,False,False
R_3g6GGuejuglyy5g,putting Covid behind us and getting Canadian values back,True,False,False,False,False,False,False,False,False,False,False,False,True,False
R_2VDvDhp9ppBqW5q,Pipeline Construction,False,False,True,True,False,False,False,False,False,False,False,False,False,False
R_3qO0hPcOt3LtmlY,pandemic recovery,True,False,True,False,False,False,False,False,False,False,False,False,False,False
R_3qrhp66MdrYc9zn,Respect for constitutional rights and the illegal actions of government during the CCP pandemic,True,False,False,False,False,False,True,False,False,False,False,False,False,False
R_1o7imHrEQnzFu0q,Climate change,False,False,False,True,False,False,False,False,False,False,False,False,False,False
R_12sf0Jm37EYhHLs,Helping muslims feel safe,False,False,False,False,False,False,False,True,False,False,False,False,False,False
R_1OpFL9h1b5mylpv,Environment,False,False,False,True,False,False,False,False,False,False,False,False,False,False
R_3HSsysPex5vWqD0,Lowering the cost of living,False,False,True,False,False,True,False,False,False,False,False,False,False,False
R_3NHRguLHepRWNu9,Les changements climatiques,False,False,False,True,False,False,False,False,False,False,False,False,False,False
R_DT3XqXdcXVdaepb,Seniors Care,False,True,False,False,False,False,False,False,False,True,False,False,False,False
R_BEtXvsLw2aLw253,Health care,False,True,False,False,False,False,False,False,False,False,False,False,False,False
R_1BMnG3reYPDxyVj,Le déficit financier,False,False,False,False,True,False,False,False,False,False,False,False,False,False
R_3n63rguvTVfcsWA,Long term debt and how we are going to pay it back,False,False,True,False,True,False,False,False,False,False,False,False,False,False
R_cNjVz4ca7ztpak9,L'environnement les changements climatiques,False,False,False,True,False,False,False,False,False,False,False,False,False,False
R_31ckhbSSMegvtym,Senior care,False,True,False,False,False,False,False,False,False,True,False,False,False,False
